Hourly measurement data supplied by UK-air on 21/3/2015
 All Data are GMT hour ending
Status: V=verified N=Not Verified S=Suspect
,,Newcastle Centre,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM10 (Hourly measured)",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM10 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

21-03-2015,01:00,5.000,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,7.98272,N ugm-3,29.07000,N ugm-3,41.31000,N ugm-3,1.600,N ugm-3 (TEOM FDMS),1.900,N ugm-3 (TEOM FDMS),35.92260,N ugm-3,4.600,N ugm-3 (TEOM FDMS),3.400,N ugm-3 (TEOM FDMS),2.700,N ugm-3 (TEOM FDMS)
21-03-2015,02:00,1.000,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,4.36555,N ugm-3,22.18500,N ugm-3,28.87875,N ugm-3,0.300,N ugm-3 (TEOM FDMS),1.300,N ugm-3 (TEOM FDMS),48.09637,N ugm-3,4.700,N ugm-3 (TEOM FDMS),0.700,N ugm-3 (TEOM FDMS),3.400,N ugm-3 (TEOM FDMS)
21-03-2015,03:00,7.000,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,2.61933,N ugm-3,14.15250,N ugm-3,18.16875,N ugm-3,7.700,N ugm-3 (TEOM FDMS),4.400,N ugm-3 (TEOM FDMS),62.06627,N ugm-3,5.700,N ugm-3 (TEOM FDMS),-0.700,N ugm-3 (TEOM FDMS),1.300,N ugm-3 (TEOM FDMS)
21-03-2015,04:00,4.700,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,2.24514,N ugm-3,11.85750,N ugm-3,15.30000,N ugm-3,3.600,N ugm-3 (TEOM FDMS),4.200,N ugm-3 (TEOM FDMS),70.64778,N ugm-3,5.500,N ugm-3 (TEOM FDMS),1.100,N ugm-3 (TEOM FDMS),1.300,N ugm-3 (TEOM FDMS)
21-03-2015,05:00,8.600,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,1.74622,N ugm-3,10.51875,N ugm-3,13.19625,N ugm-3,5.100,N ugm-3 (TEOM FDMS),2.800,N ugm-3 (TEOM FDMS),74.43961,N ugm-3,7.200,N ugm-3 (TEOM FDMS),3.500,N ugm-3 (TEOM FDMS),4.400,N ugm-3 (TEOM FDMS)
21-03-2015,06:00,9.700,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,1.99568,N ugm-3,12.43125,N ugm-3,15.49125,N ugm-3,6.000,N ugm-3 (TEOM FDMS),5.100,N ugm-3 (TEOM FDMS),72.44391,N ugm-3,7.700,N ugm-3 (TEOM FDMS),3.700,N ugm-3 (TEOM FDMS),2.600,N ugm-3 (TEOM FDMS)
21-03-2015,07:00,6.600,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,2.49460,N ugm-3,15.87375,N ugm-3,19.69875,N ugm-3,6.000,N ugm-3 (TEOM FDMS),3.300,N ugm-3 (TEOM FDMS),67.45466,N ugm-3,3.800,N ugm-3 (TEOM FDMS),0.600,N ugm-3 (TEOM FDMS),0.500,N ugm-3 (TEOM FDMS)
21-03-2015,08:00,7.800,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,4.11609,N ugm-3,19.89000,N ugm-3,26.20125,N ugm-3,9.300,N ugm-3 (TEOM FDMS),6.900,N ugm-3 (TEOM FDMS),64.26154,N ugm-3,7.000,N ugm-3 (TEOM FDMS),-1.500,N ugm-3 (TEOM FDMS),0.100,N ugm-3 (TEOM FDMS)
21-03-2015,09:00,9.000,N ugm-3 (TEOM FDMS),No data,,No data,,No data,,5.48812,N ugm-3,20.08125,N ugm-3,28.49625,N ugm-3,5.700,N ugm-3 (TEOM FDMS),4.800,N ugm-3 (TEOM FDMS),70.24864,N ugm-3,8.700,N ugm-3 (TEOM FDMS),3.300,N ugm-3 (TEOM FDMS),3.900,N ugm-3 (TEOM FDMS)
